Order ID,Origin Port,Carrier,Service Level,Customer,Product ID,Plant Code,Destination Port,Unit quantity,Weight,Maximum delivery time
5276,9,,0,37,1481,16,1,808,14.3,4
691,9,,0,37,1481,16,1,3188,87.94,4
68,9,,0,37,1481,16,1,2331,61.2,4
7361,9,,0,37,1481,16,1,847,16.16,4
7363,9,,0,37,1481,16,1,2163,52.34,4
7049,9,,0,37,1481,16,1,3332,92.8,4
6059,9,,0,37,1481,16,1,1782,46.9,4
692,9,,0,37,1481,16,1,427,2.86,4
3041,9,,0,37,1481,16,1,1291,26.6,4
8483,9,,0,37,1481,16,1,2294,62.2,4
8002,9,,0,37,1481,16,1,2766,75.5,4
1279,9,,0,37,1481,16,1,798,14.3,4
587,9,,0,37,1303,16,1,739,73.9,4
4115,9,,0,37,1303,16,1,280,7.800000000000001,4
3778,9,,0,37,1303,16,1,574,59.5,4
4112,9,,0,37,1303,16,1,556,52.7,4
4202,9,,0,37,1303,16,1,544,58.5,4
74,9,,0,37,1303,16,1,1151,181.7,4
5755,9,,0,37,1303,16,1,1404,227.2,4
2132,9,,0,37,1303,16,1,662,74.1,4
2137,9,,0,37,1367,16,1,836,80.43000000000002,4
7089,9,,0,37,1538,16,1,2063,265.1,4
2853,9,,0,37,1368,16,1,2114,267.1,4
3564,9,,0,37,1368,16,1,2108,271.1,4
2576,9,,0,37,1367,16,1,1120,112.6,4
7435,9,,0,37,1540,16,1,706,61.8,4
677,9,,0,37,1367,16,1,889,107.88,4
8481,9,,0,37,1538,16,1,1793,216.57,4
7910,9,,0,37,1538,16,1,491,27.81,4
4114,9,,0,37,1368,16,1,1044,112.6,4
7532,9,,0,37,1539,16,1,447,32.9,4
5756,9,,0,37,1367,16,1,328,13.36,4
8487,9,,0,37,1538,16,1,973,106.88,4
7908,9,,0,37,1538,16,1,1179,129.14,4
7436,9,,0,37,1539,16,1,814,74.25,4
3145,9,,0,37,1367,16,1,1464,171.22,4
4205,9,,0,37,1368,16,1,347,6.18,4
5340,9,,0,37,1367,16,1,771,77.25,4
6525,9,,0,37,1538,16,1,469,27.9,4
4203,9,,0,37,1367,16,1,382,15.45,4
678,9,,0,37,1368,16,1,507,43.17,4
2577,9,,0,37,1367,16,1,419,16.45,4
8480,9,,0,37,1540,16,1,452,33.9,4
4113,9,,0,37,1367,16,1,486,24.72,4
3780,9,,0,37,1367,16,1,729,60.8,4
8488,9,,0,37,1538,16,1,366,19.54,4
8486,9,,0,37,1539,16,1,539,43.26,4
5757,9,,0,37,1368,16,1,304,9.27,4
3781,9,,0,37,1368,16,1,544,46.35,4
2138,9,,0,37,1368,16,1,679,65.8,4
3563,9,,0,37,1367,16,1,868,101.7,4
7909,9,,0,37,1540,16,1,672,66.8,4
2849,9,,0,37,1367,16,1,890,84.7,4
4116,9,,0,37,1367,16,1,801,78.34,4
7434,9,,0,37,1538,16,1,605,46.35,4
5341,9,,0,37,1368,16,1,897,89.7,4
4117,9,,0,37,1302,16,1,840,83.4,4
4201,9,,0,37,1302,16,1,631,50.68,4
5277,9,,0,37,1476,16,1,1287,15.4,4
7362,9,,0,37,1476,16,1,3308,48.2,4
6060,9,,0,37,1476,16,1,2233,31.26,4
2483,9,,0,37,1476,16,1,1276,16.4,4
2850,9,,0,37,1476,16,1,1325,14.4,4
3045,9,,0,37,1476,16,1,735,7.7,4
6058,9,,0,37,1476,16,1,1294,16.4,4
693,9,,0,37,1476,16,1,696,6.16,4
4197,9,,0,37,1476,16,1,3333,42.2,4
690,9,,0,37,1476,16,1,2928,38.04,4
2133,9,,0,37,1476,16,1,1279,14.4,4
1280,9,,0,37,1476,16,1,1320,16.4,4
67,9,,0,37,1476,16,1,2285,32.8,4
3779,9,,0,37,1476,16,1,1819,23.1,4
6057,9,,0,37,1476,16,1,339,1.54,4
7050,9,,0,37,1476,16,1,4302,66.6,4
8003,9,,0,37,1476,16,1,3322,42.2,4
1585,9,,0,37,1476,16,1,781,7.7,4
8484,9,,0,37,1476,16,1,3266,43.2,4
2135,9,,0,37,1285,16,1,2716,457.16,4
5760,9,,0,37,1254,16,1,1498,245.08,4
590,9,,0,37,1254,16,1,617,54.52,4
591,9,,0,37,1254,16,1,898,113.04,4
4198,9,,0,37,1254,16,1,555,56.52,4
8482,9,,0,37,1285,16,1,4377,820.44,4
2139,9,,0,37,1285,16,1,540,60.52,4
2481,9,,0,37,1285,16,1,887,121.04,4
4199,9,,0,37,1254,16,1,1803,302.6,4
107,9,,0,37,1285,16,1,936,144.88,4
3782,9,,0,37,1285,16,1,2040,368.12,4
589,9,,0,37,1254,16,1,3003,498.67999999999995,4
3565,9,,0,37,1285,16,1,2095,384.12,4
1587,9,,0,37,1254,16,1,2034,337.12,4
5759,9,,0,37,1254,16,1,973,136.88,4
110,9,,0,37,1285,16,1,529,37.68,4
4072,9,,0,37,1254,16,1,2992,525.68,4
1281,9,,0,37,1254,16,1,2066,369.12,4
3032,9,,0,37,1254,16,1,3914,644.24,4
5280,9,,0,37,1285,16,1,1222,164.56,4
3566,9,,0,37,1254,16,1,3876,717.24,4
66,9,,0,37,1285,16,1,2079,345.12,4
1588,9,,0,37,1285,16,1,1136,184.56,4
70,9,,0,37,1254,16,1,3931,777.24,4
2847,9,,0,37,1254,16,1,2393,434.64,4
7365,9,,0,37,1285,16,1,1655,257.76,4
4200,9,,0,37,1285,16,1,2078,345.12,4
8485,9,,0,37,1285,16,1,946,148.88,4
5754,9,,0,37,1285,16,1,2120,335.12,4
2486,9,,0,37,1285,16,1,1230,195.56,4
7051,9,,0,37,1285,16,1,2115,344.12,4
694,9,,0,37,1254,16,1,2045,346.12,4
5962,9,,0,37,1285,16,1,935,134.88,4
592,9,,0,37,1285,16,1,2943,540.68,4
6523,9,,0,37,1285,16,1,2936,567.68,4
2134,9,,0,37,1254,16,1,2985,484.67999999999995,4
7692,9,,0,37,1285,16,1,2938,521.68,4
7364,9,,0,37,1285,16,1,716,83.36,4
2848,9,,0,37,1254,16,1,4464,813.28,4
2485,9,,0,37,1254,16,1,2109,331.12,4
3785,9,,0,37,1254,16,1,2978,504.67999999999995,4
109,9,,0,37,1254,16,1,2100,333.12,4
695,9,,0,37,1285,16,1,2066,341.12,4
1284,9,,0,37,1285,16,1,2972,508.67999999999995,4
4073,9,,0,37,1285,16,1,2069,348.12,4
5961,9,,0,37,1285,16,1,2233,404.8,4
8001,9,,0,37,1285,16,1,2088,353.12,4
1586,9,,0,37,1253,16,1,2665,417.92,4
2484,9,,0,37,1253,16,1,1961,308.36,4
69,9,,0,37,1253,16,1,2974,524.1600000000001,4
5278,9,,0,37,1253,16,1,2322,397.6,4
5279,9,,0,37,1253,16,1,950,132.56,4
7239,9,,0,37,1253,16,1,1942,292.36,4
2482,9,,0,37,1253,16,1,352,19.08,4
108,9,,0,37,1253,16,1,1208,176.72,4
2480,9,,0,37,1253,16,1,2117,293.44,4
2846,9,,0,37,1253,16,1,2087,341.44,4
696,9,,0,37,1253,16,1,3927,608.88,4
7091,9,,0,37,1253,16,1,4090,641.04,4
588,9,,0,37,1253,16,1,3851,704.88,4
