Order ID,Origin Port,Carrier,Service Level,Customer,Product ID,Plant Code,Destination Port,Unit quantity,Weight,Maximum delivery time
5276,9,,0,37,1481,16,1,808,14.3,6
691,9,,0,37,1481,16,1,3188,87.94,6
68,9,,0,37,1481,16,1,2331,61.2,6
7361,9,,0,37,1481,16,1,847,16.16,6
7363,9,,0,37,1481,16,1,2163,52.34,6
7049,9,,0,37,1481,16,1,3332,92.8,6
6059,9,,0,37,1481,16,1,1782,46.9,6
692,9,,0,37,1481,16,1,427,2.86,6
3041,9,,0,37,1481,16,1,1291,26.6,6
8483,9,,0,37,1481,16,1,2294,62.2,6
8002,9,,0,37,1481,16,1,2766,75.5,6
1279,9,,0,37,1481,16,1,798,14.3,6
587,9,,0,37,1303,16,1,739,73.9,6
4115,9,,0,37,1303,16,1,280,7.800000000000001,6
3778,9,,0,37,1303,16,1,574,59.5,6
4112,9,,0,37,1303,16,1,556,52.7,6
4202,9,,0,37,1303,16,1,544,58.5,6
74,9,,0,37,1303,16,1,1151,181.7,6
5755,9,,0,37,1303,16,1,1404,227.2,6
2132,9,,0,37,1303,16,1,662,74.1,6
2137,9,,0,37,1367,16,1,836,80.43000000000002,6
7089,9,,0,37,1538,16,1,2063,265.1,6
2853,9,,0,37,1368,16,1,2114,267.1,6
3564,9,,0,37,1368,16,1,2108,271.1,6
2576,9,,0,37,1367,16,1,1120,112.6,6
7435,9,,0,37,1540,16,1,706,61.8,6
677,9,,0,37,1367,16,1,889,107.88,6
8481,9,,0,37,1538,16,1,1793,216.57,6
7910,9,,0,37,1538,16,1,491,27.81,6
4114,9,,0,37,1368,16,1,1044,112.6,6
7532,9,,0,37,1539,16,1,447,32.9,6
5756,9,,0,37,1367,16,1,328,13.36,6
8487,9,,0,37,1538,16,1,973,106.88,6
7908,9,,0,37,1538,16,1,1179,129.14,6
7436,9,,0,37,1539,16,1,814,74.25,6
3145,9,,0,37,1367,16,1,1464,171.22,6
4205,9,,0,37,1368,16,1,347,6.18,6
5340,9,,0,37,1367,16,1,771,77.25,6
6525,9,,0,37,1538,16,1,469,27.9,6
4203,9,,0,37,1367,16,1,382,15.45,6
678,9,,0,37,1368,16,1,507,43.17,6
2577,9,,0,37,1367,16,1,419,16.45,6
8480,9,,0,37,1540,16,1,452,33.9,6
4113,9,,0,37,1367,16,1,486,24.72,6
3780,9,,0,37,1367,16,1,729,60.8,6
8488,9,,0,37,1538,16,1,366,19.54,6
8486,9,,0,37,1539,16,1,539,43.26,6
5757,9,,0,37,1368,16,1,304,9.27,6
3781,9,,0,37,1368,16,1,544,46.35,6
2138,9,,0,37,1368,16,1,679,65.8,6
3563,9,,0,37,1367,16,1,868,101.7,6
7909,9,,0,37,1540,16,1,672,66.8,6
2849,9,,0,37,1367,16,1,890,84.7,6
4116,9,,0,37,1367,16,1,801,78.34,6
7434,9,,0,37,1538,16,1,605,46.35,6
5341,9,,0,37,1368,16,1,897,89.7,6
4117,9,,0,37,1302,16,1,840,83.4,6
4201,9,,0,37,1302,16,1,631,50.68,6
5277,9,,0,37,1476,16,1,1287,15.4,6
7362,9,,0,37,1476,16,1,3308,48.2,6
6060,9,,0,37,1476,16,1,2233,31.26,6
2483,9,,0,37,1476,16,1,1276,16.4,6
2850,9,,0,37,1476,16,1,1325,14.4,6
3045,9,,0,37,1476,16,1,735,7.7,6
6058,9,,0,37,1476,16,1,1294,16.4,6
693,9,,0,37,1476,16,1,696,6.16,6
4197,9,,0,37,1476,16,1,3333,42.2,6
690,9,,0,37,1476,16,1,2928,38.04,6
2133,9,,0,37,1476,16,1,1279,14.4,6
1280,9,,0,37,1476,16,1,1320,16.4,6
67,9,,0,37,1476,16,1,2285,32.8,6
3779,9,,0,37,1476,16,1,1819,23.1,6
6057,9,,0,37,1476,16,1,339,1.54,6
7050,9,,0,37,1476,16,1,4302,66.6,6
8003,9,,0,37,1476,16,1,3322,42.2,6
1585,9,,0,37,1476,16,1,781,7.7,6
8484,9,,0,37,1476,16,1,3266,43.2,6
2135,9,,0,37,1285,16,1,2716,457.16,6
5760,9,,0,37,1254,16,1,1498,245.08,6
590,9,,0,37,1254,16,1,617,54.52,6
591,9,,0,37,1254,16,1,898,113.04,6
4198,9,,0,37,1254,16,1,555,56.52,6
8482,9,,0,37,1285,16,1,4377,820.44,6
2139,9,,0,37,1285,16,1,540,60.52,6
2481,9,,0,37,1285,16,1,887,121.04,6
4199,9,,0,37,1254,16,1,1803,302.6,6
107,9,,0,37,1285,16,1,936,144.88,6
3782,9,,0,37,1285,16,1,2040,368.12,6
589,9,,0,37,1254,16,1,3003,498.67999999999995,6
3565,9,,0,37,1285,16,1,2095,384.12,6
1587,9,,0,37,1254,16,1,2034,337.12,6
